model,language,persona,Care_mean,Care_std,Care_size,Equality_mean,Equality_std,Equality_size,Proportionality_mean,Proportionality_std,Proportionality_size,Loyalty_mean,Loyalty_std,Loyalty_size,Authority_mean,Authority_std,Authority_size,Purity_mean,Purity_std,Purity_size
llama3.1:8b,en,Argentina,4.96,0.10942024088643865,50,3.983333333333333,0.43676038875819356,50,3.1566666666666667,0.3975691442878784,50,3.746666666666667,0.5064661257260318,50,3.52,0.46976618876718174,50,2.2533333333333334,0.4057969958169465,50
llama3.1:8b,en,Chile,4.973333333333333,0.07795574068449954,50,4.023333333333333,0.4245979824634334,50,3.023333333333333,0.4040750474737702,50,3.736666666666667,0.46789197737761123,50,3.46,0.4804098779101559,50,2.19,0.3657843434881311,50
llama3.1:8b,en,Colombia,4.986666666666667,0.04567458593631174,50,3.76,0.533630869386231,50,3.0566666666666666,0.44621105812162765,50,4.096666666666667,0.43525216190668653,50,3.92,0.40579699581694656,50,2.5133333333333336,0.35449814419875714,50
llama3.1:8b,en,Mexico,4.98,0.05471012044321936,50,3.566666666666667,0.45049733162915473,50,3.0533333333333332,0.42115272112675656,50,4.1,0.4232473532055042,50,3.993333333333333,0.35308809356031673,50,2.686666666666667,0.32756920994133026,50
llama3.1:8b,en,Peru,4.986666666666667,0.04567458593631167,50,3.623333333333333,0.4009766987309489,50,2.983333333333333,0.41410778883157334,50,3.9466666666666668,0.5648831476699777,50,3.88,0.444211957334051,50,2.8066666666666666,0.2961583201041183,50
llama3.1:8b,en,none,4.963333333333333,0.07744502841566954,50,3.533333333333333,0.5194624816493197,50,3.373333333333333,0.3773039578960059,50,3.18,0.677497060933622,50,3.27,0.4958901385170491,50,2.3466666666666667,0.42169079815867544,50
llama3.1:8b,es,Argentina,4.773333333333333,0.3225465566071638,50,3.4433333333333334,0.7226572908998449,50,3.393333333333333,0.5731719437459459,50,3.4466666666666668,0.5797411260576832,50,3.473333333333333,0.576721518369626,50,2.2666666666666666,0.40406101782088427,50
llama3.1:8b,es,Chile,4.763333333333333,0.31242232594769354,50,3.37,0.5864010685119252,50,3.38,0.46540158944269006,50,3.4033333333333333,0.552350163345541,50,3.563333333333333,0.504952794093704,50,2.2633333333333336,0.3689938516900167,50
llama3.1:8b,es,Colombia,4.71,0.35604593451265987,50,3.2,0.4867868642919255,50,3.316666666666667,0.48239999022273367,50,3.663333333333333,0.5089783462153372,50,3.82,0.4748075156005308,50,2.3266666666666667,0.39117243386500683,50
llama3.1:8b,es,Mexico,4.77,0.2814966479583574,50,3.3866666666666667,0.5913587873867278,50,3.483333333333333,0.5525143517082044,50,3.706666666666667,0.567006700700667,50,3.91,0.5347451551462442,50,2.27,0.4039066594761233,50
llama3.1:8b,es,Peru,4.716666666666667,0.3842860093230707,50,3.25,0.6109822581122066,50,3.293333333333333,0.5885914621340105,50,3.83,0.5807669493291664,50,3.916666666666667,0.561672672004069,50,2.3833333333333333,0.35990991566264224,50
