model,language,foundation,spearman_rho,p_value,model_spread_sd,spread_warning,p_holm,significant_holm
llama3.1:8b,en,Care,-0.5642880936468347,0.35,0.011155467020454678,rho on near-identical means,1.0,False
llama3.1:8b,en,Equality,-0.19999999999999998,0.7833333333333333,0.20637883181717595,,1.0,False
llama3.1:8b,en,Proportionality,0.3,0.6833333333333333,0.06418722614352503,,1.0,False
llama3.1:8b,en,Loyalty,0.8999999999999998,0.08333333333333333,0.1787704922208607,,1.0,False
llama3.1:8b,en,Authority,0.9999999999999999,0.016666666666666666,0.24591778210523033,,0.5833333333333334,False
llama3.1:8b,en,Purity,0.8999999999999998,0.08333333333333333,0.26716619879351844,,1.0,False
llama3.1:8b,es,Care,0.3,0.6833333333333333,0.0307318148576428,rho on near-identical means,1.0,False
llama3.1:8b,es,Equality,-0.09999999999999999,0.95,0.10118739491107023,,1.0,False
llama3.1:8b,es,Proportionality,0.6,0.35,0.07442371187255357,,1.0,False
llama3.1:8b,es,Loyalty,0.8999999999999998,0.08333333333333333,0.18026215477588317,,1.0,False
llama3.1:8b,es,Authority,0.6,0.35,0.20541286338602197,,1.0,False
llama3.1:8b,es,Purity,0.9999999999999999,0.016666666666666666,0.052419250068822726,,0.5833333333333334,False
mistral:7b,en,Care,,,0.0,rho on near-identical means,,False
mistral:7b,en,Equality,0.09999999999999999,0.95,0.03548082424196039,rho on near-identical means,1.0,False
mistral:7b,en,Proportionality,-0.39999999999999997,0.5166666666666667,0.04930629889893492,rho on near-identical means,1.0,False
mistral:7b,en,Loyalty,0.3,0.6833333333333333,0.044372163446116566,rho on near-identical means,1.0,False
mistral:7b,en,Authority,0.19999999999999998,0.7833333333333333,0.029720924166878486,rho on near-identical means,1.0,False
mistral:7b,en,Purity,0.051298917604257706,0.95,0.027243755655603545,rho on near-identical means,1.0,False
mistral:7b,es,Care,-0.09999999999999999,0.95,0.031358146203711246,rho on near-identical means,1.0,False
mistral:7b,es,Equality,-0.09999999999999999,0.95,0.013540064007726667,rho on near-identical means,1.0,False
mistral:7b,es,Proportionality,0.8999999999999998,0.08333333333333333,0.036560452221856894,rho on near-identical means,1.0,False
mistral:7b,es,Loyalty,0.7999999999999999,0.13333333333333333,0.1083307692004243,,1.0,False
mistral:7b,es,Authority,0.8999999999999998,0.08333333333333333,0.09168181692983371,,1.0,False
mistral:7b,es,Purity,0.8207826816681233,0.08333333333333333,0.04272652051777182,rho on near-identical means,1.0,False
qwen2.5:7b,en,Care,0.22360679774997894,0.6833333333333333,0.010645812948447662,rho on near-identical means,1.0,False
qwen2.5:7b,en,Equality,-0.6,0.35,0.06853223086013367,,1.0,False
qwen2.5:7b,en,Proportionality,-0.09999999999999999,0.95,0.0742144041125292,,1.0,False
qwen2.5:7b,en,Loyalty,0.8999999999999998,0.08333333333333333,0.019776529298921687,rho on near-identical means,1.0,False
qwen2.5:7b,en,Authority,0.3,0.6833333333333333,0.06383137507875297,,1.0,False
qwen2.5:7b,en,Purity,-0.3,0.6833333333333333,0.08057432731473615,,1.0,False
qwen2.5:7b,es,Care,-0.7999999999999999,0.13333333333333333,0.06189597007165419,,1.0,False
qwen2.5:7b,es,Equality,-0.41039134083406165,0.45,0.03420526275297405,rho on near-identical means,1.0,False
qwen2.5:7b,es,Proportionality,0.09999999999999999,0.95,0.07900070323175053,,1.0,False
qwen2.5:7b,es,Loyalty,0.19999999999999998,0.7833333333333333,0.31844587888333215,,1.0,False
qwen2.5:7b,es,Authority,0.49999999999999994,0.45,0.19749824190497378,,1.0,False
qwen2.5:7b,es,Purity,0.41039134083406165,0.45,0.06238767684585021,,1.0,False
